Review Date,Airline,Verified,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended,Cleaned_Reviews
27-12-2022,Singapore Airlines,True,Couple Leisure,Dec-22,Melbourne to Singapore,Business Class,3,5,3,1,3,7,yes,full flight check busy business class full lounge melbourne okay bit old dated food good boarding protocol strictly adhered warmly welcomed medium haul aircraft far different a380 business seat although adequate much smaller surprised see blanket pillow slipper face mask sock amenity kit seat storage bin overhead high 158cm needed help stow bag much storage seat footstool tiny cubby hole headphone water removed staff friendly reactive rather pro active ’ check cabin flight would respond pushing button attendant food okay nothing special steak tough dessert lovely cheesecake entertainment pretty good quite lot choice flight map excellent refreshment landing nice chorizo pasta quantity quality arrived slightly sooner scheduled altogether good day flight sure comfortable enough overnight flight
18-12-2022,Singapore Airlines,False,Couple Leisure,Dec-22,Brisbane to Singapore,Business Class,4,5,1,1,4,7,yes,check brisbane worst ever experienced one business class counter resulted 30 minute queue taking duty manager told push passenger use check machine deal luggage fine passenger familiar system acceptable passenger predate automated era certainly acceptable paid business class finally checked another disappointment discover brisbane airport abolished fast track security obviously airport decision begs question major user brisbane singapore airline put pressure airport reintroduce facility lounge good selection food flight boarded back excellent service expect unfortunate good flight spoiled awful start business class experience begin first arrival airport
17-12-2022,Singapore Airlines,True,Solo Leisure,Dec-22,Kuala Lumpur to Paris via Singapore,Economy Class,4,2,5,5,1,1,no,shame delayed baggage arrived paris airport representative told would sent next day arrived thursday evening saturday evening seen luggage neither received call anyone dont know luggage left waiting home even low cost airline provide better customer service support idea cited among best airline even top 20 book first time flying airline last
08-12-2022,Singapore Airlines,False,Couple Leisure,Oct-22,Sydney to Singapore,Premium Economy,4,5,1,5,3,5,no,seat 32a could reclined defeated purpose paying extra premium economy comfortable seat seat 32c took much effort force recline button seem anything push force recline singapore sling overly sweet felt made deliberately avoid asking second one warm towel small packet nut given quite drink service completed great moviestv selection noise cancelling headphone large ear encompassing one two small bottle water sitting seat boarded appropriate announcement time based section cabin full people boarded earlier economy class cabin many empty seat reflection knowledge seat booking would opted economy premium class delivered asked amenity bag flight attendant looked puzzled though one thing exist reluctantly economy class bag sock toothbrush procured food economy although preordered mine dessert tray small tub hagen daez ice cream seems anxious get meal service done quickly possible flight attendant friendly boarding hardly saw meal service midflight snack plane left arrived time overall seriously reconsider premium economy
01-12-2022,Singapore Airlines,True,Solo Leisure,Nov-22,London Heathrow to Auckland via Singapore/Sydney,Economy Class,5,3,1,4,3,9,yes,two separate return journey different equipment pretty well cant faulted eg airline staff went extra mile several respect including luggage didnt make tight connection still got 24 hour a350s somewhat comfortable feel even a380s ife aircraft good though a350s live bbc news feed recommend would happily fly
28-11-2022,Singapore Airlines,True,Solo Leisure,Nov-22,Danang to Singapore,Economy Class,1,3,4,3,3,5,no,sq171 dadsin terrible flight boarding started late chaos real explanation delay upon boarding could use overhead seat allowed personal item headphone shortage took inflight service started rather late cabin attendant speaking extremely fast unable comprehend saying multiple time ask slow ran food offered entrée disgusting refused came back tried offer business class entrée 1 choice passed hounded endless question landed ’ get access luggage singapore airline good ultra long haul flight asian connection anymore since got rid a330
24-11-2022,Singapore Airlines,True,Couple Leisure,Nov-22,SIN to LHR,Economy Class,4,5,2,5,4,10,yes,boarding prompt flight landed early hardworking cabin crew tried best fulfil request less proactive coming around drink flight compared previous flight responded individual request made directly aircraft clean cupholder seat broken overall feel comfortable flying airline would choose knowing get certain standard service
24-11-2022,Singapore Airlines,True,Couple Leisure,Nov-22,London to Singapore,Economy Class,3,1,2,5,4,10,yes,first flight postpandemic singapore airline lived high expectation cabin crew excellent made regular drink run throughout flight tray water juice sometimes beer impressed professionalism politeness friendliness throughout journey despite serve almost full flight flood including snack meal galley plentiful even economy class two free hour wifi economy class passenger welcome addition service everything went smoothly boarding disembarking prior flight called call centre make booking amendment service call centre also efficient
24-11-2022,Singapore Airlines,True,Couple Leisure,Oct-22,Sydney to Copenhagen via Singapore,Economy Class,3,1,5,1,5,9,yes,singapore airline ranged excellent good sydsincph oct 6 2022 excellent course economy packed like sardine tin large enough neighbour small enough werent particularly uncomfortable third time weve flown postcovid first time thai seemed covid excuse give service singapore airline xmas 2021 last month provides excellent service food good alcohol plentiful entertainment system provided enough occupy u long haul flight attendant attentive stopped singapore way home unfortunately sinsyd leaf shortly midnight flight delayed 1am left long time meal uncertain whether wed given snack night cap going sleep announcement made stayed limbo sleeping waking leg four leg journey complaint
24-11-2022,Singapore Airlines,True,Solo Leisure,Nov-22,New York to Singapore,Premium Economy,5,5,5,5,5,10,yes,sq23 premium economy solo seat 1730 arrived counter instantly approached greeted extremely professional gentleman asking flight told sq23 asked “ could please wait ” well went get water came back instantly reengaged stating counter ready took straight head line check fast agent verifying information boarding quick upon boarding red uniformed cabin attendant welcomed aboard directed seat passed others acknowledged welcomed aboard one even said “ happy thanksgiving ” aircraft seemed extremely cold rather uncomfortable seemed late pushing back red uniformed staff going around talking passenger approached began engage conversation thanked flying sq 14 year finally took use provided blanket champagne back menu arrived dinner ran food steward said go business get entree came back said ordered beef kept checking estimated time completion constant champagne round followed flight dinner slept standalone seat extremely comfortable excellent value second meal came stir fry shrimp delicious constant champagne refill continued approach changi switched coffee also continued multiple round arriving sin thanksgiving morning crew wished u well debarked flying singapore airline since 2008 flight maybe best experience ever
23-11-2022,Singapore Airlines,True,Couple Leisure,Nov-22,Singapore to Manchester,Economy Class,1,3,1,1,2,5,no,im vegetarian food tasty thought bun served butter without addition one main meal ask drink service walked multiple time ignoring flew 4 time two flight 145 hour plus 2 shorter flight 1 4 flight say service high level seat super uncomfortable number drink served 145 hour really poor last drink asked water staff brought tap water
16-11-2022,Singapore Airlines,True,Couple Leisure,Nov-22,Singapore to Brisbane,Business Class,1,2,2,1,4,8,yes,late evening check surprisingly busy counter open much delay similarly lounge busy decent selection food wine offer disappointing boarding prompt friendly welcome champagne fruit juice offer take drink served immediately take seemed passenger opted sleep rather food seat comfortable sitting relaxing lie flat position recess foot restricting four breakfast type food option available served immediately landing made lot sense continental breakfast basic disappointing brisbane airport quiet early morning immigration luggage delivery quick overall good flight cabin crew excellent expected singapore airline
15-11-2022,Singapore Airlines,True,Solo Leisure,Jun-22,Frankfurt to Singapore,Economy Class,5,1,5,1,1,1,no,wanted change flight ticket 20th april rushed send confirmation flight change 21st april involved payment 300 sgd agreed upon calling back day later checking flight booked website agent phone tried salvage situation insisting original flight change booking flight cancelled instead would pay sgd 1700 rebook flight change cancellation flight flight number cancelled flight exact flight one proposed tried calling multiple occasion even though singapore airline admitted fault messing booking would change flight original price agreed upon result miss travel plan london main issue 1 rushing confirm flight change 21st april 20th april flight booked original agreed price sgd 300 lack competence staff cant operate computer
14-11-2022,Singapore Airlines,True,Couple Leisure,Nov-22,Melbourne to Cape Town via Singapore,Economy Class,3,5,5,4,3,6,yes,ordered muslim meal received chicken curry breakfast lunch dinner seriously chicken curry breakfast 20 year ago wrote singapore airline issue take note muslim diet much broader chicken curry
08-11-2022,Singapore Airlines,True,Family Leisure,Nov-22,Sydney to Mumbai via Singapore,Business Class,5,5,1,5,5,10,yes,word hospitality singapore airline staff flight shown taken 20 flight year undoubtedly airline best surely try fly singapore amazed love care showed 7 year old mumbai sydney coming back india sydney thank much
