Review Date,Airline,Verified,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended,Cleaned_Reviews
01-03-2024,Singapore Airlines,True,Solo Leisure,Dec-23,Jakarta to Singapore,Business Class,4,4,4,4,4,9,yes,flight amazing crew onboard flight welcoming gave good atmosphere crew serving aisle go initial “ g ” kind helpful gave mom bday cake late celebration even though 1hr 45min flight seat well sanitized legroom spacious ife onboard many variety show music etc bathroom always kept clean crew time food delicious overall flight 910
21-02-2024,Singapore Airlines,True,Solo Leisure,Feb-24,Phuket to Singapore,Economy Class,5,3,4,4,1,3,no,booking emergency exit seat still meant huge discomfort seat far narrow poor padding meaning back ache 90 minute flight seat aircraft dreadful headphone sound entertainment system dreadful
20-02-2024,Singapore Airlines,True,Family Leisure,Feb-24,Siem Reap to Singapore,Economy Class,1,5,2,1,5,10,yes,excellent performance front would definitely choose use airline aircraft wellmaintained staff welltrained hospitality food plentiful tasty
19-02-2024,Singapore Airlines,True,Solo Leisure,Feb-24,Singapore to London Heathrow,Economy Class,5,5,5,5,5,10,yes,pretty comfortable flight considering flying economy class one older aircraft fleet still kept relatively good condition economy class cabin 333 configuration flight almost full amazed much food available economy passenger 2 full meal rear galley stocked snack crew came round regularly tray drink juice flight disembarked full stomach timing main meal lightingdimming cabin done sensitively cabin crew seemed willing please make interaction pleasant whole experience bit enjoyable eyemasks handed provided upon request economy class toilet stocked complimentary toothbrush wifi supposedly free didnt seem work duration flight however diverse choice movie tv programme
19-02-2024,Singapore Airlines,True,Family Leisure,Feb-24,Singapore to Phnom Penh,Economy Class,5,5,5,5,5,10,yes,service consistently good start finish cabin crew showcased friendly singaporean culture finest seemed like really cared passenger liked seat comfortable wide range movie provided many choose even
19-02-2024,Singapore Airlines,True,Solo Leisure,Feb-24,Singapore to Cairns,Economy Class,5,1,5,5,1,3,no,flight six hour long b737 max8 booked emergency exit row seat window seat absolutely dreadful lack padding within hour developed back ache lasted several day flight left right armrest effectively reduce working seat width 12 inch b737 max fit purpose long haul flight would recommend fly aircraft unless flight duration 2 hour passenger spoke end flight also back ache flight also run wine beer completed serving lunch inflight service also poor indeed sound entertainment system also poor earphone kept falling ear
19-02-2024,Singapore Airlines,True,Solo Leisure,Feb-24,Singapore to Frankfurt,Economy Class,1,3,1,2,2,5,no,boarding process went smoothly plane left time window seat first part economy section plane 343 layout 3 adult row narrow passenger front reclined seat could hardly look screen could fold table crew told people raise seat back meal time two meal dinner breakfast meal ok wanted charge phone flight usb charger wad working remember many year ago travelling singapore airline drink trolley came meal got meal showed shortly meal also get drink along meal ask want refill ordinary service friendly staff either
19-02-2024,Singapore Airlines,True,Family Leisure,Feb-24,Singapore to Bandar Seri Begawan,Economy Class,2,5,3,4,5,10,yes,pleasant flight operated time checkin changi smooth assistance given since ’ know use checkin kiosk bag drop lunch provided onboard advanced special meal request catered appropriately like flying airline
18-02-2024,Singapore Airlines,True,Business,Feb-24,Singapore to Jakarta,Economy Class,5,4,5,5,3,4,no,embarked journey high hope anticipation secured connecting flight ticket penang singapore onwards jakarta opting singapore airline renowned outstanding reputation air travel service anticipated nothing less seamless experience cost connecting flight amounted myr 1601 roughly usd 335 price willing pay quality service journey commenced minor delay takeoff penang flight proceeded smoothly accompanied light snack comprising slice pizza beverage choice approached changi airport situation took unexpected turn captain announced delay landing estimating additional 15 20 minute touchdown sense unease crept connecting flight departure time loomed closer despite concern remained optimistic trusting efficiency singapore airline navigate challenge seamlessly upon landing 1205 pm disembarking 1218 pm met startling realization rather smooth transition connecting flight handed new ticket rescheduled departure 410 pm accompanied sgd 15 food voucher burger king coffee bean sought clarity attendant met dismissiveness absence acknowledgment attempt redress left deeply disappointed disregard time indifferent handling situation underscored gap airline commitment customer service retrospect expectation exemplary hospitality proactive problemsolving reputed airline like singapore airline regrettably unmet reflect experience reminded importance genuine care consideration customer service particularly moment inconvenience distress
17-02-2024,Singapore Airlines,True,Family Leisure,Feb-24,Siem Reap to Singapore,Economy Class,4,5,4,3,5,10,yes,queue checkin boarding gate done orderly fashion zone pleasant greeting crew boarding flight full cabin crew worked hard serve lunch everyone satisfactorily great inflight entertainment option shorthaul flight— far better equivalent flight available within europe example flight landed time disembarkation quick luggage delivered belt quickly well ’ fault single aspect flight
17-02-2024,Singapore Airlines,True,Solo Leisure,Feb-24,Bandar Seri Begawan to Singapore,Economy Class,5,5,5,5,5,10,yes,competitive pricing route service reliable friendly flight time aspect went smoothly complaint would recommend others
